paper_title,venue,year,author_names,bibtex,abstract,pdf_url,google_search_url,source_page_url
CDE: A Tool For Creating Portable Experimental Software Packages,Computing in Science & Engineering vol. 14 (2012) pp. 32-35,2012,Philip Guo,@article{38290 title = {CDE: A Tool For Creating Portable Experimental Software Packages} author = {Philip Guo} year = 2012 journal = {Computing in Science & Engineering} pages = {32-35} volume = {14} },One technical barrier to reproducible computational science is that it's hard to distribute scientific code in a form that other researchers can easily execute on their own computers. To help eliminate this barrier the CDE tool packages all software dependencies required to rerun Linux-based computational experiments on other computers.,http://research.google.com/pubs/archive/38290.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=CDE:+A+Tool+For+Creating+Portable+Experimental+Software+Packages+Guo,http://research.google.com/pubs/pub38290.html
Vision Paper: Towards an Understanding of the Limits of Map-Reduce Computation,CloudFutures Workshop (2012),2012,Foto Afrati Anish Das Sarma Semih Salihoglu Jeffrey Ullman,@techreport{40412 title = {Vision Paper: Towards an Understanding of the Limits of Map-Reduce Computation} author = {Foto Afrati and Anish Das Sarma and Semih Salihoglu and Jeffrey Ullman} year = 2012 URL = {http://arxiv.org/abs/1204.1754} institution = {CloudFutures Workshop} },"A significant amount of recent research work has addressed the problem of solving various data management problems in the cloud. The major algorithmic challenges in map-reduce computations involve balancing a multitude of factors such as the number of machines available for mappers/reducers their memory requirements and communication cost (total amount of data sent from mappers to reducers). Most past work provides custom solutions to specific problems e.g. performing fuzzy joins in map-reduce clustering graph analyses and so on. While some problems are amenable to very efficient map-reduce algorithms some other problems do not lend themselves to a natural distribution and have provable lower bounds. Clearly the ease of ""map-reducability"" is closely related to whether the problem can be partitioned into independent pieces which are distributed across mappers/reducers. What makes a problem distributable? Can we characterize general properties of problems that determine how easy or hard it is to find efficient map-reduce algorithms? This is a vision paper that attempts to answer the questions described above.",http://arxiv.org/abs/1204.1754,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Vision+Paper:+Towards+an+Understanding+of+the+Limits+of+Map-Reduce+Computation+Afrati+Das+Sarma+Salihoglu+Ullman,http://research.google.com/pubs/pub40412.html
On inter-deriving small-step and big-step semantics: A case study for storeless call-by-need evaluation,Theoretical Computer Science vol. 435 (2012) pp. 21-42,2012,Olivier Danvy Kevin Millikin Johan Munk Ian Zerny,@article{40357 title = {On inter-deriving small-step and big-step semantics: A case study for storeless call-by-need evaluation} author = {Olivier Danvy and Kevin Millikin and Johan Munk and Ian Zerny} year = 2012 URL = {http://www.sciencedirect.com/science/article/pii/S0304397512001648} journal = {Theoretical Computer Science} pages = {21--42} volume = {435} },Starting from the standard call-by-need reduction for the _-calculus that is common to Ariola Felleisen Maraist Odersky and Wadler we inter-derive a series of hygienic semantic artifacts: a reduction-free storeless abstract machine a continuation-passing evaluation function and what appears to be the first heapless natural semantics for call-by-need evaluation. Furthermore we observe that the evaluation function implementing this natural semantics is in defunctionalized form. The refunctionalized counterpart of this evaluation function implements an extended direct semantics in the sense of Cartwright and Felleisen. Overall the semantic artifacts presented here are simpler than many other such artifacts that have been independently worked out and which require ingenuity skill and independent soundness proofs on a case-by-case basis. They are also simpler to inter-derive because the inter-derivational tools (e.g. refocusing and defunctionalization) already exist.,http://research.google.com/pubs/archive/40357.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=On+inter-deriving+small-step+and+big-step+semantics:+A+case+study+for+storeless+call-by-need+evaluation+Danvy+Millikin+Munk+Zerny,http://research.google.com/pubs/pub40357.html
SemWebVid - Making Video a First Class Semantic Web Citizen and a First Class Web Bourgeois - Semantic Web Challenge,9th International Semantic Web Conference (ISWC 2010),2010,Thomas Steiner Michael Hausenblas,@inproceedings{37431 title = {SemWebVid - Making Video a First Class Semantic Web Citizen and a First Class Web Bourgeois -- Semantic Web Challenge} author = {Thomas Steiner and Michael Hausenblas} year = 2010 URL = {http://www.cs.vu.nl/~pmika/swc/submissions/swc2010_submission_12.pdf} booktitle = {9th International Semantic Web Conference (ISWC 2010)} },SemWebVid is an online Ajax application that allows for the automatic generation of Resource Description Framework (RDF) video descriptions. These descriptions are based on two pillars: first on a combination of user-generated metadata such as title summary and tags; and second on closed captions which can be user-generated or be auto-generated via speech recognition. The plaintext contents of both pillars are being analyzed using multiple Natural Language Processing (NLP) Web services in parallel whose results are then merged and where possible matched back to concepts in the sense of Linking Open Data (LOD). The final result is a deep-linkable RDF description of the video and a “scroll-along” view of the video as an example of video visualization formats.,http://research.google.com/pubs/archive/37431.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=SemWebVid+-+Making+Video+a+First+Class+Semantic+Web+Citizen+and+a+First+Class+Web+Bourgeois+--+Semantic+Web+Challenge+Steiner+Hausenblas,http://research.google.com/pubs/pub37431.html
Sources of Traffic Demand Variability and Use of Monte Carlo for Network Capacity Planning,Performance and Capacity 2014 by CMG Conference Performance and Capacity 2014 by CMG Conference Performance and Capacity 2014 by CMG Conference,2014,Alexander Gilgur Brian Eck,@inproceedings{42848 title = {Sources of Traffic Demand Variability and Use of Monte Carlo for Network Capacity Planning} author = {Alexander Gilgur and Brian Eck} year = 2014 booktitle = {Performance and Capacity 2014 by CMG Conference} address = {Performance and Capacity 2014 by CMG Conference} },When sizing any network capacity several factors such as Traffic Quality of Service (QoS) and Total Cost of Ownership (TCO) are usually taken into account. Generally it boils down to a joint minimization of cost and maximization of traffic subject to the constraints of protocol and QoS requirements. Stochastic nature of network traffic and link saturation queueing issues add uncertainty to the already complex optimization problem. In this paper we examine the sources of traffic demand variability and dive into Monte-Carlo methodology as an efficient way for solving these problems. Other sources of uncertainty in network capacity forecasting are briefly discussed in the Attachment.,http://research.google.com/pubs/archive/42848.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Sources+of+Traffic+Demand+Variability+and+Use+of+Monte+Carlo+for+Network+Capacity+Planning+Gilgur+Eck,http://research.google.com/pubs/pub42848.html
Distributed divide-and-conquer techniques for effective DDoS attack defenses,IEEE International Conference on Distributed Computing Systems (ICDCS) (2008),2008,Muthuprasanna Muthusrinivasan Manimaran Govindarasu,@inproceedings{34344 title = {Distributed divide-and-conquer techniques for effective DDoS attack defenses} author = {Muthuprasanna Muthusrinivasan and Manimaran Govindarasu} year = 2008 URL = {http://research.google.com/archive/papers/34344.pdf} booktitle = {IEEE International Conference on Distributed Computing Systems (ICDCS)} },Distributed Denial-of-Service (DDoS) attacks have emerged as a popular means of causing mass targeted service disruptions often for extended periods of time. The relative ease and low costs of launching such attacks supplemented by the current woeful state of any viable defense mechanism have made them one of the top threats to the Internet community today. While distributed packet logging and/or packet marking have been explored in the past for DDoS attack traceback/mitigation we propose to advance the state of the art by using a novel distributed divide-and-conquer approach in designing a new data dissemination architecture that efficiently tracks attack sources. The main focus of our work is to tackle the three disjoint aspects of the problem namely attack tree construction attack path frequency detection and packet to path association independently and to use succinct recurrence relations to express their individual implementations. We also evaluate the network traffic and storage overhead induced by our proposed deployment on real-life Internet topologies supporting hundreds of victims each subject to thousands of high-bandwidth flows simultaneously and conclude that we can truly achieve single packet traceback guarantees with minimal overhead and high efficiency.,http://research.google.com/pubs/archive/34344.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Distributed+divide-and-conquer+techniques+for+effective+DDoS+attack+defenses+Muthusrinivasan+Manimaran,http://research.google.com/pubs/pub34344.html
Discriminative Keyword Spotting,Speech Communication (2009) pp. 317-329,2009,Joseph Keshet David Grangier Samy Bengio,@article{34844 title = {Discriminative Keyword Spotting} author = {Joseph Keshet and David Grangier and Samy Bengio} year = 2009 journal = {Speech Communication} pages = {317--329} },This paper proposes a new approach for keyword spotting which is based on large margin and kernel methods rather than on HMMs. Unlike previous approaches the proposed method employs a discriminative learning procedure in which the learning phase aims at achieving a high area under the ROC curve as this quantity is the most common measure to evaluate keyword spotters. The keyword spotter we devise is based on mapping the input acoustic representation of the speech utterance along with the target keyword into a vector space. Building on techniques used for large margin and kernel methods for predicting whole sequences our keyword spotter distills to a classifier in this vector-space which separates speech utterances in which the keyword is uttered from speech utterances in which the keyword is not uttered. We describe a simple iterative algorithm for training the keyword spotter and discuss its formal properties showing theoretically that it attains high area under the ROC curve. Experiments on read speech with the TIMIT corpus show that the resulted discriminative system outperforms the conventional context-independent HMM-based system. Further experiments using the TIMIT trained model but tested on both read (HTIMIT WSJ) and spontaneous speech (OGI-Stories) show that without further training or adaptation to the new corpus our discriminative system outperforms the conventional context-independent HMM-based system.,http://research.google.com/pubs/archive/34844.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Discriminative+Keyword+Spotting+Keshet+Grangier+Bengio,http://research.google.com/pubs/pub34844.html
The SMAPH System for Query Entity Recognition and Disambiguation,ERD 2014: Entity Recognition and Disambiguation Challenge. SIGIR Forum. ACM,2014,Marco Cornolti Paolo Ferragina Massimiliano Ciaramita Stefan Rued Hinrich Schuetze,@inproceedings{42720 title = {The SMAPH System for Query Entity Recognition and Disambiguation} author = {Marco Cornolti and Paolo Ferragina and Massimiliano Ciaramita and Stefan Rued and Hinrich Schuetze} year = 2014 booktitle = {ERD 2014: Entity Recognition and Disambiguation Challenge. SIGIR Forum.} },The SMAPH system implements a pipeline of four main steps: (1) Fetching – it fetches the search results returned by a search engine given the query to be annotated; (2) Spotting – search result snippets are parsed to identify candidate mentions for the entities to be annotated. This is done in a novel way by detecting the keywords-in-context by looking at the bold parts of the search snippets; (3) Candidate generation – candidate entities are generated in two ways: from the Wikipedia pages occurring in the search results and from an existing annotator using the mentions identified in the spotting step as input; (4) Pruning – a binary SVM classifier is used to decide which entities to keep/discard in order to generate the final annotation set for the query. The SMAPH system ranked third on the development set and first on the final blind test of the 2014 ERD Challenge short text track.,http://research.google.com/pubs/archive/42720.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=The+SMAPH+System+for+Query+Entity+Recognition+and+Disambiguation+Cornolti+Ferragina+Ciaramita+Rued+Schuetze,http://research.google.com/pubs/pub42720.html
Yes–no answers versus check-all in self-administered modes. A systematic review and analyses,International Journal of Market Research vol. 57 (2015) pp. 203-223,2015,Mario Callegaro Mike Murakami Ziv Tepman Vani Henderson,@article{43431 title = {Yes–no answers versus check-all in self-administered modes. A systematic review and analyses} author = {Mario Callegaro and Mike Murakami and Ziv Tepman and Vani Henderson} year = 2015 URL = {https://www.mrs.org.uk/pdf/Callegaro.pdf} journal = {International Journal of Market Research} pages = {203-223} volume = {57} },When writing questions with dichotomous response options those administering surveys on the web or on paper can choose from a variety of formats including a check-all-that-apply or a forced-choice format (e.g. yes-no) in self-administered questionnaires. These two formats have been compared and evaluated in many experimental studies. In this paper we conduct a systematic review and a few meta-analyses of different aspects of the available research that compares these two formats. We find that endorsement levels increase by a factor of 1.42 when questions are posed in a forced-choice rather than check-all format. However when comparing across a battery of questions the rank order of endorsement rates remains the same for both formats. While most authors hypothesise that respondents endorse more alternatives presented in a forced-choice (versus check-all-that-apply) format because they process that format at a deeper cognitive level we introduce the acquiescence bias hypothesis as an alternative and complementary explanation. Further research is required to identify which format elicits answers closer to the ‘true level’ of endorsement since the few validation studies have proved inconclusive.,https://www.mrs.org.uk/pdf/Callegaro.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Yes%E2%80%93no+answers+versus+check-all+in+self-administered+modes.+A+systematic+review+and+analyses+Callegaro+Murakami+Tepman+Henderson,http://research.google.com/pubs/pub43431.html
A representation theorem for second-order functionals,Journal of Functional Programming vol. 25 (2015),2015,Mauro Jaskelioff Russell O'Connor,@article{43961 title = {A representation theorem for second-order functionals} author = {Mauro Jaskelioff and Russell O'Connor} year = 2015 URL = {http://dx.doi.org/10.1017/S0956796815000088} journal = {Journal of Functional Programming} volume = {25} },Representation theorems relate seemingly complex objects to concrete more tractable ones. In this paper we take advantage of the abstraction power of category theory and provide a datatype-generic representation theorem. More precisely we prove a representation theorem for a wide class of second-order functionals which are polymorphic over a class of functors. Types polymorphic over a class of functors are easily representable in languages such as Haskell but are difficult to analyse and reason about. The concrete representation provided by the theorem is easier to analyse but it might not be as convenient to implement. Therefore depending on the task at hand the change of representation may prove valuable in one direction or the other. We showcase the usefulness of the representation theorem with a range of examples. Concretely we show how the representation theorem can be used to prove that traversable functors are finitary containers how coalgebras of a parameterised store comonad relate to very well-behaved lenses and how algebraic effects might be implemented in a functional language.,http://research.google.com/pubs/archive/43961.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+representation+theorem+for+second-order+functionals+Jaskelioff+O'Connor,http://research.google.com/pubs/pub43961.html
Applying Control Theory in the Real World: Experience With Building a Controller for the .NET Thread Pool,Sigmetrics Performance Evaluation Review (2009) pp. 38-42,2009,Joseph L. Hellerstein Vance Morrison Eric Eilebrecht,@article{35085 title = {Applying Control Theory in the Real World: Experience With Building a Controller for the .NET Thread Pool} author = {Joseph L. Hellerstein and Vance Morrison and Eric Eilebrecht} year = 2009 journal = {Sigmetrics Performance Evaluation Review} pages = {38-42} },While much has been published about the value of using formal techniques from control engineering to build software systems little has been reported on software engineering considerations for building closed loop systems especially widely deployed resource managers. This paper discusses the design testing and tuning of a controller that optimizes concurrency levels in the .NET thread pool a feature that is present in approximately 1 billion computers that run the Windows Operating System. Some of the issues we encountered are: (a) designing an extensible controller that easily incorporates a diverse set of techniques; (b) creating a scalable test infrastructure to address running a large number of test cases; (c) providing test cases for which the optimal concurrency level is known a priori; and (d) choosing settings of tuning parameters that result in good controller performance for multiple evaluation criteria.,http://research.google.com/pubs/archive/35085.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Applying+Control+Theory+in+the+Real+World:+Experience+With+Building+a+Controller+for+the+.NET+Thread+Pool+Hellerstein+Morrison+Eilebrecht,http://research.google.com/pubs/pub35085.html
Dense Subgraph Maintenance under Streaming Edge Weight Updates for Real-time Story Identification,The VLDB Journal (2013) pp. 1-25,2013,Albert Angel Nick Koudas Nikos Sarkas Divesh Srivastava Michael Svendsen Srikanta Tirthapura,@article{41607 title = {Dense Subgraph Maintenance under Streaming Edge Weight Updates for Real-time Story Identification} author = {Albert Angel and Nick Koudas and Nikos Sarkas and Divesh Srivastava and Michael Svendsen and Srikanta Tirthapura} year = 2013 URL = {http://dx.doi.org/10.1007/s00778-013-0340-z} note = {VLDBJ Special Issue: Best of VLDB 2012} journal = {The VLDB Journal} pages = {1-25} },Recent years have witnessed an unprecedented proliferation of social media. People around the globe author every day millions of blog posts micro-blog posts social network status updates etc. This rich stream of information can be used to identify on an ongoing basis emerging stories and events that capture popular attention. Stories can be identified via groups of tightly-coupled real-world entities namely the people locations products etc. that are involved in the story. The sheer scale and rapid evolution of the data involved necessitate highly efficient techniques for identifying important stories at every point of time. The main challenge in real-time story identification is the maintenance of dense subgraphs (corresponding to groups of tightly-coupled entities) under streaming edge weight updates (resulting from a stream of user-generated content). This is the first work to study the efficient maintenance of dense subgraphs under such streaming edge weight updates. For a wide range of definitions of density we derive theoretical results regarding the magnitude of change that a single edge weight update can cause. Based on these we propose a novel algorithm DynDens which outperforms adaptations of existing techniques to this setting and yields meaningful results. Our approach is validated by a thorough experimental evaluation on large-scale real and synthetic datasets.,http://dx.doi.org/10.1007/s00778-013-0340-z,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Dense+Subgraph+Maintenance+under+Streaming+Edge+Weight+Updates+for+Real-time+Story+Identification+Angel+Koudas+Sarkas+Srivastava+Svendsen+Tirthapura,http://research.google.com/pubs/pub41607.html
Program Representation for General Intelligence,The Second Conference on Artificial General Intelligence (2009),2009,Moshe Looks Ben Goertzel,@inproceedings{34939 title = {Program Representation for General Intelligence} author = {Moshe Looks and Ben Goertzel} year = 2009 URL = {http://agi-conf.org/2009/papers/paper_69.pdf} booktitle = {The Second Conference on Artificial General Intelligence} },Traditional machine learning systems work with relatively flat uniform data representations such as feature vectors time-series and context-free grammars. However reality often presents us with data which are best understood in terms of relations types hierarchies and complex functional forms. One possible representational scheme for coping with this sort of complexity is computer programs. This immediately raises the question of how programs are to be best represented. We propose an answer in the context of ongoing work towards artificial general intelligence.,http://research.google.com/pubs/archive/34939.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Program+Representation+for+General+Intelligence+Looks+Goertzel,http://research.google.com/pubs/pub34939.html
HyperLogLog in Practice: Algorithmic Engineering of a State of The Art Cardinality Estimation Algorithm,Proceedings of the EDBT 2013 Conference ACM Genoa Italy (to appear),2013,Stefan Heule Marc Nunkesser Alex Hall,@inproceedings{40671 title = {HyperLogLog in Practice: Algorithmic Engineering of a State of The Art Cardinality Estimation Algorithm} author = {Stefan Heule and Marc Nunkesser and Alex Hall} year = 2013 booktitle = {Proceedings of the EDBT 2013 Conference} address = {Genoa Italy} },Cardinality estimation has a wide range of applications and is of particular importance in database systems. Various algorithms have been proposed in the past and the HyperLogLog algorithm is one of them. In this paper we present a series of improvements to this algorithm that reduce its memory requirements and signi?cantly increase its accuracy for an important range of cardinalities. We have implemented our proposed algorithm for a system at Google and evaluated it empirically comparing it to the original HyperLogLog algorithm. Like HyperLogLog our improved algorithm parallelizes perfectly and computes the cardinality estimate in a single pass.,http://research.google.com/pubs/archive/40671.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=HyperLogLog+in+Practice:+Algorithmic+Engineering+of+a+State+of+The+Art+Cardinality+Estimation+Algorithm+Heule+Nunkesser+Hall,http://research.google.com/pubs/pub40671.html
A Tweet Consumers' Look At Twitter Trends,Workshop Making Sense of Microposts (MSM 2011) at the Extended Semantic Web Conference (ESWC 2011) Heraklion Crete,2011,Thomas Steiner Arnaud Brousseau Raphael Troncy,@inproceedings{37428 title = {A Tweet Consumers' Look At Twitter Trends} author = {Thomas Steiner and Arnaud Brousseau and Raphael Troncy} year = 2011 URL = {http://research.hypios.com/msm2011/posters/steiner.pdf} booktitle = {Workshop Making Sense of Microposts (MSM 2011) at the Extended Semantic Web Conference (ESWC 2011)} address = {Heraklion Crete} },Twitter Trends allows for a global or local view on “what’s happening in my world right now” from a tweet producers’ point of view. In this paper we explore a way to complete Twitter Trends by having a closer look at the other side: the tweet consumers’ point of view. While Twitter Trends works by analyzing the frequency of terms and their velocity of appearance in tweets being written our approach is based on the popularity of extracted named entities in tweets being read.,http://research.google.com/pubs/archive/37428.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+Tweet+Consumers'+Look+At+Twitter+Trends+Steiner+Brousseau+Troncy,http://research.google.com/pubs/pub37428.html
Tunable Performance and Consistency Tradeoffs for Geographically Replicated Cloud Services (COLOR),Cyber Security and Cloud Computing (CSCloud) 2015 IEEE 2nd International Conference on IEEE pp. 457-463,2015,Wenbo Zhu C. Murray Woodside,@inproceedings{44809 title = {Tunable Performance and Consistency Tradeoffs for Geographically Replicated Cloud Services (COLOR)} author = {Wenbo Zhu and C. Murray Woodside} year = 2015 URL = {http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=7371522} booktitle = {Cyber Security and Cloud Computing (CSCloud) 2015 IEEE 2nd International Conference on} pages = {457-463} },"COLOR (client-oriented layered optimistic replication) is a combination of optimistic and conservative data replication that allows cloud services to be replicated across widely distributed locations without suffering from the latency overhead of strict algorithms and with quantifiable and controllable tradeoffs between performance and consistency guarantees. The COLOR solution adopts a layered approach to enable optimistic delivery of client messages on top of any existing storage layer that manages the strict replication of the cloud service. When clients may be temporarily exposed to inconsistent states due to replication failures such inconsistency is made recoverable similar to ""optimistic concurrency control"" for clients that cache the server state. COLOR supports different numeric parameters to trade the strict consistency for better performance to possibly match Eventual Consistency while the end-to-end consistency is always guaranteed as the storage layer will never deliver any client messages generated from inconsistent states",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=7371522,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Tunable+Performance+and+Consistency+Tradeoffs+for+Geographically+Replicated+Cloud+Services+(COLOR)+Zhu+Woodside,http://research.google.com/pubs/pub44809.html
End-to-end Verification of QoS Policies,The 13th IEEE/IFIP Network Operations and Management Symposium (NOMS 2012),2012,Adel El-Atawy Taghrid Samak,@inproceedings{37516 title = {End-to-end Verification of QoS Policies} author = {Adel El-Atawy and Taghrid Samak} year = 2012 booktitle = {The 13th IEEE/IFIP Network Operations and Management Symposium (NOMS 2012)} },Conﬁguring a large number of routers and network devices to achieve quality of service (QoS) goals is a challenging task. In a differentiated services (DiffServ) environment trafﬁc ﬂows are assigned speciﬁc classes of service and service level agreements (SLA) are enforced at routers within each domain. We present a model for QoS conﬁgurations that facilitates efﬁcient property-based veriﬁcation. Network conﬁguration is given as a set of policies governing each device. The model efﬁciently checks the required properties against the current conﬁguration using computation tree logic (CTL) model checking. By symbolically modeling possible decision paths for different ﬂows from source to destination properties can be checked at each hop and assessments can be made on how closely conﬁgurations adhere to the speciﬁed agreement. The model also covers conﬁguration debugging given a speciﬁc QoS violation. Efﬁciency and scalability of the model are analyzed for policy per-hop behavior (PHB) parameters over large network conﬁgurations.,http://research.google.com/pubs/archive/37516.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=End-to-end+Verification+of+QoS+Policies+El-Atawy+Samak,http://research.google.com/pubs/pub37516.html
ParTes. Test Suite for Parsing Evaluation,Procesamiento del Lenguaje Natural vol. 53 (2014) pp. 87-94,2014,Marina Lloberes Irene Castellón Lluís Padró Edgar Gonzàlez,@article{42946 title = {ParTes. Test Suite for Parsing Evaluation} author = {Marina Lloberes and Irene Castellón and Lluís Padró and Edgar Gonzàlez} year = 2014 URL = {http://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/5040} journal = {Procesamiento del Lenguaje Natural} pages = {87-94} volume = {53} },This paper presents ParTes the first test suite in Spanish and Catalan for parsing qualitative evaluation. This resource is a hierarchical test suite of the representative syntactic structure and argument order phenomena. ParTes proposes a simplification of the qualitative evaluation by contributing to the automatization of this task.,http://research.google.com/pubs/archive/42946.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=ParTes.+Test+Suite+for+Parsing+Evaluation+Lloberes+Castell%C3%B3n+Padr%C3%B3+Gonz%C3%A0lez+Pellicer,http://research.google.com/pubs/pub42946.html
Instant Foodie: Predicting Expert Ratings From Grassroots,CIKM’13 Oct. 27–Nov. 1 2013 San Francisco CA USA ACM,2013,Chenhao Tan Ed H. Chi David Huffaker Gueorgi Kossinets Alex J. Smola,@inproceedings{41382 title = {Instant Foodie: Predicting Expert Ratings From Grassroots} author = {Chenhao Tan and Ed H. Chi and David Huffaker and Gueorgi Kossinets and Alex J. Smola} year = 2013 booktitle = {CIKM’13 Oct. 27–Nov. 1 2013 San Francisco CA USA} },Consumer review sites and recommender systems typically rely on a large volume of user-contributed ratings which makes rating acquisition an essential component in the design of such systems. User ratings are then summarized to provide an aggregate score representing a popular evaluation of an item. An inherent problem in such summarization is potential bias due to raters’ self-selection and heterogeneity in terms of experiences tastes and rating scale interpretations. There are two major approaches to collecting ratings which have different advantages and disadvantages. One is to allow a large number of volunteers to choose and rate items directly (a method employed by e.g. Yelp and Google Places). Alternatively a panel of raters may be maintained and invited to rate a predeﬁned set of items at regular intervals (such as in Zagat Survey). The latter approach arguably results in more consistent reviews and reduced selection bias however at the expense of much smaller coverage (fewer rated items). In this paper we examine the two different approaches to collecting user ratings of restaurants and explore the question of whether it is possible to reconcile them. Speciﬁcally we study the problem of inferring the more calibrated Zagat Survey ratings (which we dub “expert ratings”) from the user-contributed ratings (“grassroots”) in Google Places. To achieve this we employ latent factor models and provide a probabilistic treatment of the ordinal ratings. We can predict Zagat Survey ratings accurately from ad hoc user-generated ratings by employing joint optimization. Furthermore the resulting model show that users become more discerning as they submit more ratings. We also describe an approach towards cross-city recommendations answering questions such as “What is the equivalent of the Per Se restaurant in Chicago?”,http://research.google.com/pubs/archive/41382.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Instant+Foodie:+Predicting+Expert+Ratings+From+Grassroots+Tan+Chi+Huffaker+Kossinets+Smola,http://research.google.com/pubs/pub41382.html
FTTH look ahead — technologies & architectures,ECOC 2010 Turin Italy,2010,Cedric F. Lam,@inproceedings{36936 title = {FTTH look ahead — technologies & architectures} author = {Cedric F. Lam} year = 2010 booktitle = {ECOC 2010} address = {Turin Italy} },We review the trade-offs challenges and potentials of various FTTH architecture options.,http://research.google.com/pubs/archive/36936.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=FTTH+look+ahead+%E2%80%94+technologies+%26+architectures+Lam,http://research.google.com/pubs/pub36936.html
De Bruijn Sequences Revisited,International Journal of Foundations of Computer Science vol. 23 (2012) pp. 1307-1322,2012,Lila Kari Zhi Xu,@article{42296 title = {De Bruijn Sequences Revisited} author = {Lila Kari and Zhi Xu} year = 2012 journal = {International Journal of Foundations of Computer Science} pages = {1307--1322} volume = {23} },A (non-circular) de Bruijn sequence w of order n is a word such that every word of length n appears exactly once in w as a factor. In this paper we generalize the concept to different settings: the multi-shift de Bruijn sequence and the pseudo de Bruijn sequence. An m-shift de Bruijn sequence of order n is a word such that every word of length n appears exactly once in w as a factor that starts at a position im + 1 for some integer i ≥ 0. A pseudo de Bruijn sequence of order n with respect to an antimorphic involution _ is a word such that for every word u of length n the total number of appearances of u and _(u) as a factor is one. We show that the number of m-shift de Bruijn sequences of order n is an!a(m-n)(an-1) for 1 ≤ n ≤ m and is (am!)an-m for 1 ≤ m ≤ n where a is the size of the alphabet. We provide two algorithms for generating a multi-shift de Bruijn sequence. The multi-shift de Bruijn sequence is important for solving the Frobenius problem in a free monoid. We show that the existence of pseudo de Bruijn sequences depends on the given alphabet and antimorphic involution and obtain formulas for the number of such sequences in some particular settings.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=De+Bruijn+Sequences+Revisited+Kari+Xu,http://research.google.com/pubs/pub42296.html
Wsabie: Scaling Up To Large Vocabulary Image Annotation,Proceedings of the International Joint Conference on Artificial Intelligence IJCAI (2011),2011,Jason Weston Samy Bengio Nicolas Usunier,@inproceedings{37180 title = {Wsabie: Scaling Up To Large Vocabulary Image Annotation} author = {Jason Weston and Samy Bengio and Nicolas Usunier} year = 2011 booktitle = {Proceedings of the International Joint Conference on Artificial Intelligence IJCAI} },Image annotation datasets are becoming larger and larger with tens of millions of images and tens of thousands of possible annotations. We propose a strongly performing method that scales to such datasets by simultaneously learning to optimize precision at the top of the ranked list of annotations for a given image and learning a low-dimensional joint embedding space for both images and annotations. Our method called Wsabie both outperforms several baseline methods and is faster and consumes less memory.,http://research.google.com/pubs/archive/37180.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Wsabie:+Scaling+Up+To+Large+Vocabulary+Image+Annotation+Weston+Bengio+Usunier,http://research.google.com/pubs/pub37180.html
